Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu,,,,,,
2017,1,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà mensual (Euros/mes),946.59,,,,,,
2017,1,6,Gràcia,29,el Coll,Lloguer mitjà mensual (Euros/mes),687.42,,,,,,
2017,1,6,Gràcia,30,la Salut,Lloguer mitjà mensual (Euros/mes),841.38,,,,,,
2017,1,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà mensual (Euros/mes),837.09,,,,,,
2017,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà mensual (Euros/mes),839.29,,,,,,
2017,1,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),743.88,,,,,,
2017,1,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),637.3,,,,,,
2017,1,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),722.67,,,,,,
2017,1,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),812.93,,,,,,
2017,1,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),597.09,,,,,,
2017,1,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),663.9,,,,,,
2017,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),622.33,,,,,,
2017,1,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),716.43,,,,,,
2017,1,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),816.05,,,,,,
2017,1,7,Horta-Guinardó,42,la Clota,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,1,7,Horta-Guinardó,43,Horta,Lloguer mitjà mensual (Euros/mes),669.89,,,,,,
2017,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà mensual (Euros/mes),687.37,,,,,,
2017,1,8,Nou Barris,45,Porta,Lloguer mitjà mensual (Euros/mes),654.58,,,,,,
2017,1,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà mensual (Euros/mes),587.02,,,,,,
2017,1,8,Nou Barris,47,Can Peguera,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,1,8,Nou Barris,48,la Guineueta,Lloguer mitjà mensual (Euros/mes),634.54,,,,,,
2017,1,8,Nou Barris,49,Canyelles,Lloguer mitjà mensual (Euros/mes),689.62,,,,,,
2017,1,8,Nou Barris,50,les Roquetes,Lloguer mitjà mensual (Euros/mes),504.31,,,,,,
2017,1,8,Nou Barris,51,Verdun,Lloguer mitjà mensual (Euros/mes),595.48,,,,,,
2017,1,8,Nou Barris,52,la Prosperitat,Lloguer mitjà mensual (Euros/mes),624.58,,,,,,
2017,1,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),540.68,,,,,,
2017,1,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),418.07,,,,,,
2017,1,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),459.19,,,,,,
2017,1,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,1,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),497.84,,,,,,
2017,1,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,1,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),622.82,,,,,,
2017,1,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),708.6,,,,,,
2017,1,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),575.23,,,,,,
2017,1,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),696.04,,,,,,
